Annual Crimes by counties in New Jersey: 2020 to  2022,,,
County,2020,2021,2022
Total New Jersey,"958,604","935,321","1,133,384"
Atlantic County,"46,551","42,324","1,245"
Bergen County,"193,882","208,751","294,129"
Burlington County,"44,940","48,929","52,173"
Camden County,"103,373","114,926","194,754"
Cape May County,"64,234","65,174","56,205"
Cumberland County,"17,378","14,656","17,993"
Essex County,"45,882","47,082","56,433"
Gloucester County,"38,332","35,690","40,038"
Hudson County,"32,374","29,689","38,604"
Hunterdon County,"8,036","7,447","10,467"
Mercer County,"21,976","21,813","26,797"
Middlesex County,"36,204","35,448","45,162"
Monmouth County,"85,417","70,450","76,941"
Morris County,"33,417","26,142","31,456"
Ocean County,"55,640","39,291","52,245"
Passaic County,"28,610","27,683","34,688"
Salem County,"19,312","15,548","14,772"
Somerset County,"21,493","21,174","22,982"
Sussex County,"6,345","7,471","7,074"
Union County,"35,176","35,881","41,550"
Warren County,"20,030","19,753","17,675"
