County,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Atlantic ,6,6.2,5.5,5.4,5.8,5.9,6.8,11.9,12.5,12.6,12.8,11.9,10.5,9.5,7.4,7.1,5.7,4.9,17.10,9.90,5.40
Bergen,5,5.1,4.1,3.7,3.9,3.4,4.4,7.8,8.1,7.7,7.7,6.8,5.4,4.6,4.1,3.8,3.3,2.8,9.20,6.30,3.50
Burlington ,4.8,4.8,4.1,3.9,4.2,3.8,4.9,8.4,9.1,8.8,8.7,7.9,6.4,5.3,4.4,4,3.6,3.2,7.90,5.70,3.50
Camden ,5.8,6,5.2,4.8,5.3,4.8,5.9,9.9,11.1,10.9,10.8,9.6,7.7,6.4,5.5,5,4.5,4,9.70,7.10,4.20
Cape May ,7.9,8,6.8,6.6,7,6.6,7.9,11.2,14.2,14.9,15.5,14.6,12.2,11,9.8,9.1,8.2,7,13.70,9.30,6.80
Cumberland ,7.5,7.9,6.5,6.4,7,6.5,7.9,12.5,13.2,13,13.2,12,9.9,8.7,7.4,6.8,6.3,5.3,10.40,8.10,5.30
Essex ,7.2,7.2,6.1,5.6,5.9,5.3,6.4,10.3,11,10.8,10.8,9.9,8,6.8,6,5.5,5,4.3,11.20,8.30,4.70
Gloucester,5.2,5.4,4.6,4.4,4.8,4.3,5.3,9.2,10.4,10.2,10.2,9.2,7.3,6,5,4.6,4.1,3.6,8.90,6.40,3.80
Hudson ,7.6,7.4,6,5.5,5.6,5,6.2,10.5,9.7,9.1,8.9,8,6.3,5.3,4.6,4.3,3.7,3.2,10.20,7.10,3.80
Hunterdon ,4.1,4.3,3.4,3.1,3.4,2.8,3.7,6.7,7.5,6.9,6.9,6,4.8,0.2,3.7,3.5,3.1,2.7,6.90,4.90,3.00
Mercer ,5.3,5.2,4.2,3.9,4.3,3.8,4.7,7.6,8.5,8.3,8.3,7.4,5.8,4.9,4.3,4,3.5,3.1,7.20,5.50,3.30
Middlesex ,5.6,5.5,4.5,4.2,4.4,3.9,4.9,8.5,9.1,8.8,8.7,7.7,6.1,5.1,4.4,4,3.5,3,8.50,6.10,3.50
Monmouth ,5.3,5.4,4.4,4.1,4.2,3.7,4.8,8.3,8.9,8.6,8.8,7.7,6.1,5.1,4.4,4,3.5,3.1,8.50,5.90,3.50
Morris ,4.6,4.6,3.6,3.3,3.4,3,3.9,7.1,7.5,7.1,7.1,6.3,5,4.3,3.9,3.5,3.1,2.7,7.50,5.30,3.20
Ocean ,5.4,5.8,5,4.7,5,4.6,5.8,9.5,10.4,10.5,10.7,9.5,7.4,6.1,5.2,4.7,4.1,3.6,9.10,6.30,3.90
Passaic,7,7.3,6.1,5.5,5.7,5.3,6.6,11,11.5,11,11.1,10.1,8.2,7,6.1,5.6,4.9,4.2,12.10,8.70,4.80
Salem ,5.8,6,5.2,4.9,5.1,5,6.1,10.6,11.8,11.6,11.9,10.6,8.5,7.3,6.3,6,5.3,4.7,9.20,7.70,4.80
Somerset,4.7,4.6,3.7,3.4,3.5,3.1,4,7.3,7.7,7.4,7.5,6.5,5.2,4.5,4,3.7,3.3,2.9,7.50,5.40,3.20
Sussex ,4.9,5.2,4.3,3.9,4.2,3.9,4.9,8.6,9.6,9.2,9,8.1,6.4,5.4,4.7,4.3,3.8,3.3,9.00,6.30,3.90
Union ,6.3,6.3,5.2,4.8,4.9,4.5,5.6,9.3,9.7,9.5,9.5,8.5,6.90,6,5.1,4.6,4.1,3.6,9.50,7.00,4.00
Warren ,4.9,5,4.3,4,4.2,3.8,4.9,8.7,10,9.1,8.8,7.8,6.3,5.3,4.5,4.1,3.7,3.3,8.20,5.90,3.60
