County,2020,2021,2022
Atlantic ,17.10,9.90,5.40
Bergen,9.20,6.30,3.50
Burlington ,7.90,5.70,3.50
Camden ,9.70,7.10,4.20
Cape May ,13.70,9.30,6.80
Cumberland ,10.40,8.10,5.30
Essex ,11.20,8.30,4.70
Gloucester,8.90,6.40,3.80
Hudson ,10.20,7.10,3.80
Hunterdon ,6.90,4.90,3.00
Mercer ,7.20,5.50,3.30
Middlesex ,8.50,6.10,3.50
Monmouth ,8.50,5.90,3.50
Morris ,7.50,5.30,3.20
Ocean ,9.10,6.30,3.90
Passaic,12.10,8.70,4.80
Salem ,9.20,7.70,4.80
Somerset,7.50,5.40,3.20
Sussex ,9.00,6.30,3.90
Union ,9.50,7.00,4.00
Warren ,8.20,5.90,3.60
